a	a 1
lũm	l u m 3
lủm	l u m 4
lụm	l u m 6
lun	l u n 1
lún	l u n 5
lùn	l u n 2
lũn	l u n 3
lủn	l u n 4
lụn	l u n 6
lung	l u ŋ͡m 1
lúng	l u ŋ͡m 5
lùng	l u ŋ͡m 2
lũng	l u ŋ͡m 3
lủng	l u ŋ͡m 4
lụng	l u ŋ͡m 6
lưng	l ɯ ŋ 1
lừng	l ɯ ŋ 2
lững	l ɯ ŋ 3
lửng	l ɯ ŋ 4
lựng	l ɯ ŋ 6
luốc	l uə k 5
luộc	l uə k 6
lược	l ɯə k 6
luồi	l uə j 2
lưới	l ɯə j 5
lười	l ɯə j 2
lưỡi	l ɯə j 3
lưởi	l ɯə j 4
luôm	l uə m 1
luộm	l uə m 6
lươm	l ɯə m 1
lườm	l ɯə m 2
lượm	l ɯə m 6
luôn	l uə n 1
luồn	l uə n 2
lươn	l ɯə n 1
lườn	l ɯə n 2
lượn	l ɯə n 6
luông	l uə ŋ 1
luống	l uə ŋ 5
luồng	l uə ŋ 2
luỗng	l uə ŋ 3
lương	l ɯə ŋ 1
lướng	l ɯə ŋ 5
lường	l ɯə ŋ 2
lưỡng	l ɯə ŋ 3
lưởng	l ɯə ŋ 4
lượng	l ɯə ŋ 6
lướp	l ɯə p 5
luốt	l uə t 5
lướt	l ɯə t 5
lượt	l ɯə t 6
lướu	l ɯə w 5
lúp	l u p 5
lụp	l u p 6
lút	l u t 5
lụt	l u t 6
lứt	l ɯ t 5
lưu	l ɯ w 1
lựu	l ɯ w 6
luy	lw ʷi 1
lúy	l u j 5
lũy	l u j 3
lụy	l u j 6
luya	lw ʷiə 1
luých	lw ʷi tʃ 5
luyên	lw ʷiə n 1
luyến	lw ʷiə n 5
luyện	lw ʷiə n 6
luyn	lw ʷi n 1
luynh	lw ʷi ɲ 1
luýnh	lw ʷi ɲ 5
luỳnh	lw ʷi ɲ 2
luýt	lw ʷi t 5
ly	l i 1
lý	l i 5
lỳ	l i 2
lỵ	l i 6
ma	m a 1
má	m a 5
mà	m a 2
mã	m a 3
mả	m a 4
mạ	m a 6
mác	m a k 5
mắc	m ă k 5
mặc	m ă k 6
mạc	m a k 6
mách	m a tʃ 5
mạch	m a tʃ 6
mai	m a j 1
mái	m a j 5
mài	m a j 2
mãi	m a j 3
mải	m a j 4
mại	m a j 6
mam	m a m 1
mám	m a m 5
măm	m ă m 1
mắm	m ă m 5
mẵm	m ă m 3
mâm	m ɤ̆ m 1
mấm	m ɤ̆ m 5
mầm	m ɤ̆ m 2
mẫm	m ɤ̆ m 3
mẩm	m ɤ̆ m 4
mậm	m ɤ̆ m 6
man	m a n 1
mán	m a n 5
màn	m a n 2
măn	m ă n 1
mắn	m ă n 5
mằn	m ă n 2
mẳn	m ă n 4
mặn	m ă n 6
mân	m ɤ̆ n 1
mấn	m ɤ̆ n 5
mần	m ɤ̆ n 2
mẫn	m ɤ̆ n 3
mẩn	m ɤ̆ n 4
mận	m ɤ̆ n 6
mãn	m a n 3
mạn	m a n 6
mang	m a ŋ 1
máng	m a ŋ 5
màng	m a ŋ 2
măng	m ă ŋ 1
mắng	m ă ŋ 5
mâng	m ɤ̆ ŋ 1
mầng	m ɤ̆ ŋ 2
mãng	m a ŋ 3
mảng	m a ŋ 4
mạng	m a ŋ 6
manh	m ɛ ɲ 1
mánh	m ɛ ɲ 5
mành	m ɛ ɲ 2
mãnh	m ɛ ɲ 3
mảnh	m ɛ ɲ 4
mạnh	m ɛ ɲ 6
mao	m a w 1
máo	m a w 5
mào	m a w 2
mão	m a w 3
mảo	m a w 4
mạo	m a w 6
mấp	m ɤ̆ p 5
mập	m ɤ̆ p 6
mạp	m a p 6
mat	m a t 1
mát	m a t 5
mắt	m ă t 5
mặt	m ă t 6
mất	m ɤ̆ t 5
mật	m ɤ̆ t 6
mạt	m a t 6
mau	m ă w 1
máu	m ă w 5
màu	m ă w 2
mâu	m ɤ̆ w 1
mấu	m ɤ̆ w 5
mầu	m ɤ̆ w 2
mẫu	m ɤ̆ w 3
mẩu	m ɤ̆ w 4
mậu	m ɤ̆ w 6
may	m ă j 1
máy	m ă j 5
mày	m ă j 2
mây	m ɤ̆ j 1
mấy	m ɤ̆ j 5
mầy	m ɤ̆ j 2
mẩy	m ɤ̆ j 4
mậy	m ɤ̆ j 6
mảy	m ă j 4
mạy	m ă j 6
me	m ɛ 1
mé	m ɛ 5
mè	m ɛ 2
mê	m e 1
mế	m e 5
mề	m e 2
mễ	m e 3
mệ	m e 6
mẽ	m ɛ 3
mẻ	m ɛ 4
mẹ	m ɛ 6
méc	m ɛ k 5
mẹc	m ɛ k 6
mếch	m e tʃ 5
mem	m ɛ m 1
mém	m ɛ m 5
mèm	m ɛ m 2
mềm	m e m 2
men	m ɛ n 1
mén	m ɛ n 5
mèn	m ɛ n 2
mên	m e n 1
mến	m e n 5
mền	m e n 2
mèng	m ɛ ŋ 2
mẻng	m ɛ ŋ 4
mênh	m e ɲ 1
mệnh	m e ɲ 6
meo	m eo 1
méo	m eo 5
mèo	m eo 2
mẻo	m eo 4
mẹo	m eo 6
mép	m ɛ p 5
mẹp	m ɛ p 6
mét	m ɛ t 5
mết	m e t 5
mệt	m e t 6
mẹt	m ɛ t 6
mếu	m ɛu 5
mi	m i 1
mí	m i 5
mì	m i 2
mĩ	m i 3
mỉ	m i 4
mị	m i 6
mia	m iə 1
mía	m iə 5
mỉa	m iə 4
míc	m i k 5
mích	m i tʃ 5
mịch	m i tʃ 6
miên	m iə n 1
miến	m iə n 5
miền	m iə n 2
miễn	m iə n 3
miện	m iə n 6
miếng	m iə ŋ 5
miềng	m iə ŋ 2
miểng	m iə ŋ 4
miệng	m iə ŋ 6
miết	m iə t 5
miệt	m iə t 6
miêu	m iə w 1
miếu	m iə w 5
miều	m iə w 2
miễu	m iə w 3
miểu	m iə w 4
mim	m i m 1
mím	m i m 5
mĩm	m i m 3
mỉm	m i m 4
min	m i n 1
mín	m i n 5
mìn	m i n 2
mịn	m i n 6
minh	m i ɲ 1
mình	m i ɲ 2
mịnh	m i ɲ 6
míp	m i p 5
mít	m i t 5
mịt	m i t 6
miu	m i w 1
míu	m i w 5
mìu	m i w 2
mỉu	m i w 4
mo	m ɔ 1
mó	m ɔ 5
mò	m ɔ 2
mô	m o 1
mố	m o 5
mồ	m o 2
mỗ	m o 3
mổ	m o 4
mộ	m o 6
mõ	m ɔ 3
mỏ	m ɔ 4
mọ	m ɔ 6
mơ	m ɤ 1
mớ	m ɤ 5
mờ	m ɤ 2
mỡ	m ɤ 3
mở	m ɤ 4
mợ	m ɤ 6
moa	mw ʷa 1
móc	m ɔ k͡p 5
mốc	m o k͡p 5
mộc	m o k͡p 6
mọc	m ɔ k͡p 6
moi	m ɔ j 1
mói	m ɔ j 5
mòi	m ɔ j 2
môi	m o j 1
mối	m o j 5
mồi	m o j 2
mỗi	m o j 3
mõi	m ɔ j 3
mỏi	m ɔ j 4
mọi	m ɔ j 6
mới	m ɤ j 5
mời	m ɤ j 2
mom	m ɔ m 1
móm	m ɔ m 5
mòm	m ɔ m 2
môm	m o m 1
mồm	m o m 2
mõm	m ɔ m 3
mỏm	m ɔ m 4
mơm	m ɤ m 1
mớm	m ɤ m 5
mờm	m ɤ m 2
mon	m ɔ n 1
món	m ɔ n 5
mòn	m ɔ n 2
môn	m o n 1
mồn	m o n 2
mọn	m ɔ n 6
mơn	m ɤ n 1
mớn	m ɤ n 5
mởn	m ɤ n 4
mong	m ɔ ŋ͡m 1
móng	m ɔ ŋ͡m 5
mòng	m ɔ ŋ͡m 2
mông	m o ŋ͡m 1
mống	m o ŋ͡m 5
mồng	m o ŋ͡m 2
mổng	m o ŋ͡m 4
mộng	m o ŋ͡m 6
mỏng	m ɔ ŋ͡m 4
mọng	m ɔ ŋ͡m 6
móp	m ɔ p 5
mọp	m ɔ p 6
mớp	m ɤ p 5
mợp	m ɤ p 6
mót	m ɔ t 5
mốt	m o t 5
một	m o t 6
mọt	m ɔ t 6
mớt	m ɤ t 5
mu	m u 1
mú	m u 5
mù	m u 2
mũ	m u 3
mủ	m u 4
mụ	m u 6
mự	m ɯ 6
mua	m uə 1
múa	m uə 5
mùa	m uə 2
mủa	m uə 4
mưa	m ɯə 1
mứa	m ɯə 5
mừa	m ɯə 2
mửa	m ɯə 4
mựa	m ɯə 6
múc	m u k͡p 5
mục	m u k͡p 6
mức	m ɯ k 5
mực	m ɯ k 6
mui	m u j 1
múi	m u j 5
mùi	m u j 2
mũi	m u j 3
mủi	m u j 4
mụi	m u j 6
mum	m u m 1
múm	m u m 5
mũm	m u m 3
mủm	m u m 4
mun	m u n 1
mún	m u n 5
mùn	m u n 2
mũn	m u n 3
mủn	m u n 4
mụn	m u n 6
mung	m u ŋ͡m 1
múng	m u ŋ͡m 5
mùng	m u ŋ͡m 2
mủng	m u ŋ͡m 4
mưng	m ɯ ŋ 1
mừng	m ɯ ŋ 2
mửng	m ɯ ŋ 4
mược	m ɯə k 6
muôi	m uə j 1
muối	m uə j 5
muồi	m uə j 2
muỗi	m uə j 3
muội	m uə j 6
mươi	m ɯə j 1
mười	m ɯə j 2
mưởi	m ɯə j 4
muồm	m uə m 2
muỗm	m uə m 3
muôn	m uə n 1
muốn	m uə n 5
muộn	m uə n 6
mươn	m ɯə n 1
mướn	m ɯə n 5
mườn	m ɯə n 2
mượn	m ɯə n 6
muông	m uə ŋ 1
muống	m uə ŋ 5
muồng	m uə ŋ 2
muỗng	m uə ŋ 3
mương	m ɯə ŋ 1
mường	m ɯə ŋ 2
mướp	m ɯə p 5
muốt	m uə t 5
mướt	m ɯə t 5
mượt	m ɯə t 6
mưỡu	m ɯə w 3
múp	m u p 5
mụp	m u p 6
mút	m u t 5
mụt	m u t 6
mứt	m ɯ t 5
mưu	m ɯ w 1
mứu	m ɯ w 5
muy	mw ʷi 1
my	m i 1
mỳ	m i 2
mỹ	m i 3
mỵ	m i 6
na	n a 1
ná	n a 5
nà	n a 2
nã	n a 3
nả	n a 4
nạ	n a 6
nác	n a k 5
nắc	n ă k 5
nặc	n ă k 6
nấc	n ɤ̆ k 5
nạc	n a k 6
nách	n a tʃ 5
nai	n a j 1
nái	n a j 5
nài	n a j 2
nải	n a j 4
nại	n a j 6
nam	n a m 1
nám	n a m 5
năm	n ă m 1
nắm	n ă m 5
nằm	n ă m 2
nặm	n ă m 6
nâm	n ɤ̆ m 1
nấm	n ɤ̆ m 5
nầm	n ɤ̆ m 2
nẫm	n ɤ̆ m 3
nẩm	n ɤ̆ m 4
nậm	n ɤ̆ m 6
nạm	n a m 6
nan	n a n 1
nán	n a n 5
nàn	n a n 2
năn	n ă n 1
nắn	n ă n 5
nằn	n ă n 2
nặn	n ă n 6
nân	n ɤ̆ n 1
nấn	n ɤ̆ n 5
nần	n ɤ̆ n 2
nẫn	n ɤ̆ n 3
nản	n a n 4
nạn	n a n 6
nang	n a ŋ 1
náng	n a ŋ 5
nàng	n a ŋ 2
năng	n ă ŋ 1
nắng	n ă ŋ 5
nằng	n ă ŋ 2
nẵng	n ă ŋ 3
nặng	n ă ŋ 6
nâng	n ɤ̆ ŋ 1
nấng	n ɤ̆ ŋ 5
nẫng	n ɤ̆ ŋ 3
nậng	n ɤ̆ ŋ 6
nạng	n a ŋ 6
nanh	n ɛ ɲ 1
nánh	n ɛ ɲ 5
nành	n ɛ ɲ 2
nạnh	n ɛ ɲ 6
nao	n a w 1
náo	n a w 5
nào	n a w 2
não	n a w 3
nảo	n a w 4
nạo	n a w 6
náp	n a p 5
nắp	n ă p 5
nấp	n ɤ̆ p 5
nập	n ɤ̆ p 6
nạp	n a p 6
nát	n a t 5
nạt	n a t 6
nau	n ă w 1
náu	n ă w 5
nâu	n ɤ̆ w 1
nấu	n ɤ̆ w 5
nẫu	n ɤ̆ w 3
nậu	n ɤ̆ w 6
nay	n ă j 1
náy	n ă j 5
này	n ă j 2
nây	n ɤ̆ j 1
nấy	n ɤ̆ j 5
nầy	n ɤ̆ j 2
nẫy	n ɤ̆ j 3
nẩy	n ɤ̆ j 4
nậy	n ɤ̆ j 6
nãy	n ă j 3
nảy	n ă j 4
nạy	n ă j 6
ne	n ɛ 1
né	n ɛ 5
nè	n ɛ 2
nê	n e 1
nề	n e 2
nể	n e 4
nệ	n e 6
nẻ	n ɛ 4
nẹ	n ɛ 6
nem	n ɛ m 1
ném	n ɛ m 5
nêm	n e m 1
nếm	n e m 5
nềm	n e m 2
nệm	n e m 6
nen	n ɛ n 1
nén	n ɛ n 5
nên	n e n 1
nến	n e n 5
nền	n e n 2
nện	n e n 6
nênh	n e ɲ 1
neo	n eo 1
néo	n eo 5
nèo	n eo 2
nẻo	n eo 4
nép	n ɛ p 5
nếp	n e p 5
nệp	n e p 6
nẹp	n ɛ p 6
nét	n ɛ t 5
nết	n e t 5
nẹt	n ɛ t 6
nêu	n ɛu 1
nếu	n ɛu 5
nga	ŋ a 1
ngà	ŋ a 2
ngã	ŋ a 3
ngả	ŋ a 4
ngác	ŋ a k 5
ngắc	ŋ ă k 5
ngấc	ŋ ɤ̆ k 5
ngạc	ŋ a k 6
ngách	ŋ a tʃ 5
ngạch	ŋ a tʃ 6
ngai	ŋ a j 1
ngái	ŋ a j 5
ngài	ŋ a j 2
ngãi	ŋ a j 3
ngải	ŋ a j 4
ngại	ŋ a j 6
ngàm	ŋ a m 2
ngăm	ŋ ă m 1
ngắm	ŋ ă m 5
ngằm	ŋ ă m 2
ngâm	ŋ ɤ̆ m 1
ngấm	ŋ ɤ̆ m 5
ngầm	ŋ ɤ̆ m 2
ngẫm	ŋ ɤ̆ m 3
ngẩm	ŋ ɤ̆ m 4
ngậm	ŋ ɤ̆ m 6
ngan	ŋ a n 1
ngán	ŋ a n 5
ngàn	ŋ a n 2
ngăn	ŋ ă n 1
ngắn	ŋ ă n 5
ngằn	ŋ ă n 2
ngẵn	ŋ ă n 3
ngẳn	ŋ ă n 4
ngân	ŋ ɤ̆ n 1
ngấn	ŋ ɤ̆ n 5
ngần	ŋ ɤ̆ n 2
ngẫn	ŋ ɤ̆ n 3
ngẩn	ŋ ɤ̆ n 4
ngận	ŋ ɤ̆ n 6
ngạn	ŋ a n 6
ngang	ŋ a ŋ 1
ngáng	ŋ a ŋ 5
ngàng	ŋ a ŋ 2
ngẵng	ŋ ă ŋ 3
ngẳng	ŋ ă ŋ 4
ngẩng	ŋ ɤ̆ ŋ 4
ngãng	ŋ a ŋ 3
ngảng	ŋ a ŋ 4
ngành	ŋ ɛ ɲ 2
ngảnh	ŋ ɛ ɲ 4
ngạnh	ŋ ɛ ɲ 6
ngao	ŋ a w 1
ngáo	ŋ a w 5
ngào	ŋ a w 2
ngão	ŋ a w 3
ngạo	ŋ a w 6
ngáp	ŋ a p 5
ngấp	ŋ ɤ̆ p 5
ngập	ŋ ɤ̆ p 6
ngát	ŋ a t 5
ngắt	ŋ ă t 5
ngặt	ŋ ă t 6
ngất	ŋ ɤ̆ t 5
ngật	ŋ ɤ̆ t 6
ngạt	ŋ a t 6
ngau	ŋ ă w 1
ngáu	ŋ ă w 5
ngâu	ŋ ɤ̆ w 1
ngấu	ŋ ɤ̆ w 5
ngầu	ŋ ɤ̆ w 2
ngẫu	ŋ ɤ̆ w 3
ngậu	ŋ ɤ̆ w 6
ngay	ŋ ă j 1
ngáy	ŋ ă j 5
ngày	ŋ ă j 2
ngây	ŋ ɤ̆ j 1
ngấy	ŋ ɤ̆ j 5
ngầy	ŋ ɤ̆ j 2
ngẩy	ŋ ɤ̆ j 4
ngậy	ŋ ɤ̆ j 6
ngét	ŋ ɛ t 5
ngễu	ŋ ɛu 3
nghe	ŋ ɛ 1
nghé	ŋ ɛ 5
nghè	ŋ ɛ 2
nghê	ŋ e 1
nghề	ŋ e 2
nghễ	ŋ e 3
nghể	ŋ e 4
nghệ	ŋ e 6
nghẹ	ŋ ɛ 6
nghếch	ŋ e tʃ 5
nghệch	ŋ e tʃ 6
nghen	ŋ ɛ n 1
nghén	ŋ ɛ n 5
nghèn	ŋ ɛ n 2
nghến	ŋ e n 5
nghền	ŋ e n 2
nghển	ŋ e n 4
nghện	ŋ e n 6
nghẽn	ŋ ɛ n 3
nghẻn	ŋ ɛ n 4
nghẹn	ŋ ɛ n 6
nghêng	ŋ e ŋ 1
nghênh	ŋ e ɲ 1
nghềnh	ŋ e ɲ 2
nghễnh	ŋ e ɲ 3
nghểnh	ŋ e ɲ 4
ngheo	ŋ eo 1
nghèo	ŋ eo 2
nghẽo	ŋ eo 3
nghẻo	ŋ eo 4
nghẹo	ŋ eo 6
nghét	ŋ ɛ t 5
nghệt	ŋ e t 6
nghẹt	ŋ ɛ t 6
nghêu	ŋ ɛu 1
nghều	ŋ ɛu 2
nghễu	ŋ ɛu 3
nghểu	ŋ ɛu 4
nghệu	ŋ ɛu 6
nghi	ŋ i 1
nghí	ŋ i 5
nghì	ŋ i 2
nghĩ	ŋ i 3
nghỉ	ŋ i 4
nghị	ŋ i 6
nghia	ŋ iə 1
nghía	ŋ iə 5
nghĩa	ŋ iə 3
nghịch	ŋ i tʃ 6
nghiêm	ŋ iə m 1
nghiễm	ŋ iə m 3
nghiệm	ŋ iə m 6
nghiên	ŋ iə n 1
nghiến	ŋ iə n 5
nghiền	ŋ iə n 2
nghiện	ŋ iə n 6
nghiêng	ŋ iə ŋ 1
nghiệp	ŋ iə p 6
nghiệt	ŋ iə t 6
nghiêu	ŋ iə w 1
nghiễu	ŋ iə w 3
nghiểu	ŋ iə w 4
nghim	ŋ i m 1
nghỉm	ŋ i m 4
nghìn	ŋ i n 2
nghỉn	ŋ i n 4
nghinh	ŋ i ɲ 1
nghĩnh	ŋ i ɲ 3
nghỉnh	ŋ i ɲ 4
nghít	ŋ i t 5
nghịt	ŋ i t 6
nghiu	ŋ i w 1
nghỉu	ŋ i w 4
nghịu	ŋ i w 6
nghoèo	ŋw e w 2
ngía	ŋ iə 5
ngịu	ŋ i w 6
ngó	ŋ ɔ 5
ngò	ŋ ɔ 2
ngô	ŋ o 1
ngố	ŋ o 5
ngồ	ŋ o 2
ngỗ	ŋ o 3
ngổ	ŋ o 4
ngộ	ŋ o 6
ngõ	ŋ ɔ 3
ngỏ	ŋ ɔ 4
ngọ	ŋ ɔ 6
ngơ	ŋ ɤ 1
ngớ	ŋ ɤ 5
ngờ	ŋ ɤ 2
ngỡ	ŋ ɤ 3
ngợ	ŋ ɤ 6
ngoa	ŋw ʷa 1
ngõa	ŋw ʷa 3
ngọa	ŋw ʷa 6
ngoác	ŋw ʷa k 5
ngoắc	ŋw ʷă k 5
ngoặc	ŋw ʷă k 6
ngoạc	ŋw ʷa k 6
ngoách	ŋw ʷa tʃ 5
ngoạch	ŋw ʷa tʃ 6
ngoai	ŋw a j 1
ngoái	ŋw a j 5
ngoài	ŋw a j 2
ngoải	ŋw a j 4
ngoại	ŋw a j 6
ngoam	ŋw ʷa m 1
ngoàm	ŋw ʷa m 2
ngoằm	ŋw ʷă m 2
ngoặm	ŋw ʷă m 6
ngoảm	ŋw ʷa m 4
ngoạm	ŋw ʷa m 6
ngoan	ŋw ʷa n 1
ngoăn	ŋw ʷă n 1
ngoằn	ŋw ʷă n 2
ngoẳn	ŋw ʷă n 4
ngoãn	ŋw ʷa n 3
ngoạn	ŋw ʷa n 6
ngoang	ŋw ʷa ŋ 1
ngoăng	ŋw ʷă ŋ 1
ngoằng	ŋw ʷă ŋ 2
ngoẵng	ŋw ʷă ŋ 3
ngoẳng	ŋw ʷă ŋ 4
ngoảng	ŋw ʷa ŋ 4
ngoảnh	ŋw ʷa ɲ 4
ngoáo	ŋw a w 5
ngoào	ŋw a w 2
ngoáp	ŋw ʷa p 5
ngoạp	ŋw ʷa p 6
ngoắt	ŋw ʷă t 5
ngoặt	ŋw ʷă t 6
ngoay	ŋw ă j 1
ngoáy	ŋw ă j 5
ngoẩy	 n g o ' '
ngoảy	ŋw ă j 4
ngoạy	ŋw ă j 6
ngóc	ŋ ɔ k͡p 5
ngốc	ŋ o k͡p 5
ngộc	ŋ o k͡p 6
ngọc	ŋ ɔ k͡p 6
ngoe	ŋw ʷɛ 1
ngóe	ŋw ʷɛ 5
ngoem	ŋw ʷɛ m 1
ngoém	ŋw ʷɛ m 5
ngoẻm	ŋw ʷɛ m 4
ngoen	ŋw ʷɛ n 1
ngoén	ŋw ʷɛ n 5
ngoẻn	ŋw ʷɛ n 4
ngoeo	ŋw e w 1
ngoéo	ŋw e w 5
ngoèo	ŋw e w 2
ngoẻo	ŋw e w 4
ngoẹo	ŋw e w 6
ngoét	ŋw ʷɛ t 5
ngoi	ŋ ɔ j 1
ngói	ŋ ɔ j 5
ngòi	ŋ ɔ j 2
ngôi	ŋ o j 1
ngồi	ŋ o j 2
ngõi	ŋ ɔ j 3
ngơi	ŋ ɤ j 1
ngời	ŋ ɤ j 2
ngỡi	ŋ ɤ j 3
ngởi	ŋ ɤ j 4
ngợi	ŋ ɤ j 6
ngóm	ŋ ɔ m 5
ngòm	ŋ ɔ m 2
ngồm	ŋ o m 2
ngổm	ŋ o m 4
ngỏm	ŋ ɔ m 4
ngơm	ŋ ɤ m 1
ngờm	ŋ ɤ m 2
ngợm	ŋ ɤ m 6
ngon	ŋ ɔ n 1
ngón	ŋ ɔ n 5
ngòn	ŋ ɔ n 2
ngôn	ŋ o n 1
ngốn	ŋ o n 5
ngồn	ŋ o n 2
ngỗn	ŋ o n 3
ngổn	ŋ o n 4
ngộn	ŋ o n 6
ngỏn	ŋ ɔ n 4
ngọn	ŋ ɔ n 6
ngơn	ŋ ɤ n 1
ngớn	ŋ ɤ n 5
ngỡn	ŋ ɤ n 3
ngởn	ŋ ɤ n 4
ngong	ŋ ɔ ŋ͡m 1
ngóng	ŋ ɔ ŋ͡m 5
ngòng	ŋ ɔ ŋ͡m 2
ngông	ŋ o ŋ͡m 1
ngồng	ŋ o ŋ͡m 2
ngỗng	ŋ o ŋ͡m 3
ngổng	ŋ o ŋ͡m 4
ngõng	ŋ ɔ ŋ͡m 3
ngỏng	ŋ ɔ ŋ͡m 4
ngọng	ŋ ɔ ŋ͡m 6
ngóp	ŋ ɔ p 5
ngộp	ŋ o p 6
ngớp	ŋ ɤ p 5
ngợp	ŋ ɤ p 6
ngót	ŋ ɔ t 5
ngốt	ŋ o t 5
ngột	ŋ o t 6
ngọt	ŋ ɔ t 6
ngớt	ŋ ɤ t 5
ngu	ŋ u 1
ngú	ŋ u 5
ngù	ŋ u 2
ngũ	ŋ u 3
ngủ	ŋ u 4
ngụ	ŋ u 6
ngư	ŋ ɯ 1
ngứ	ŋ ɯ 5
ngừ	ŋ ɯ 2
ngữ	ŋ ɯ 3
ngự	ŋ ɯ 6
ngụa	ŋ uə 6
ngưa	ŋ ɯə 1
ngứa	ŋ ɯə 5
ngừa	ŋ ɯə 2
ngửa	ŋ ɯə 4
ngựa	ŋ ɯə 6
nguây	ŋw ɤ̆ j 1
nguầy	ŋw ɤ̆ j 2
nguẩy	ŋw ɤ̆ j 4
nguậy	ŋw ɤ̆ j 6
ngúc	ŋ u k͡p 5
ngục	ŋ u k͡p 6
ngực	ŋ ɯ k 6
nguếch	ŋw ʷe tʃ 5
nguệch	ŋw ʷe tʃ 6
ngùi	ŋ u j 2
ngủi	ŋ u j 4
ngửi	ŋ ɯ j 4
ngúm	ŋ u m 5
ngủm	ŋ u m 4
ngụm	ŋ u m 6
ngun	ŋ u n 1
ngún	ŋ u n 5
ngùn	ŋ u n 2
ngũn	ŋ u n 3
ngủn	ŋ u n 4
ngụn	ŋ u n 6
ngúng	ŋ u ŋ͡m 5
ngùng	ŋ u ŋ͡m 2
ngũng	ŋ u ŋ͡m 3
ngủng	ŋ u ŋ͡m 4
ngưng	ŋ ɯ ŋ 1
ngứng	ŋ ɯ ŋ 5
ngừng	ŋ ɯ ŋ 2
ngửng	ŋ ɯ ŋ 4
ngước	ŋ ɯə k 5
ngược	ŋ ɯə k 6
nguôi	ŋ uə j 1
nguồi	ŋ uə j 2
nguội	ŋ uə j 6
ngươi	ŋ ɯə j 1
người	ŋ ɯə j 2
ngưỡi	ŋ ɯə j 3
nguồn	ŋ uə n 2
ngường	ŋ ɯə ŋ 2
ngưỡng	ŋ ɯə ŋ 3
ngưởng	ŋ ɯə ŋ 4
ngượng	ŋ ɯə ŋ 6
ngụp	ŋ u p 6
ngút	ŋ u t 5
ngụt	ŋ u t 6
ngưu	ŋ ɯ w 1
nguy	ŋw ʷi 1
ngụy	ŋ u j 6
nguých	ŋw ʷi tʃ 5
nguyên	ŋw ʷiə n 1
nguyến	ŋw ʷiə n 5
nguyền	ŋw ʷiə n 2
nguyễn	ŋw ʷiə n 3
nguyện	ŋw ʷiə n 6
nguyệt	ŋw ʷiə t 6
nguýt	ŋw ʷi t 5
nguỷu	ŋw ʷiu 4
nha	ɲ a 1
nhá	ɲ a 5
nhà	ɲ a 2
nhã	ɲ a 3
nhả	ɲ a 4
nhạ	ɲ a 6
nhác	ɲ a k 5
nhắc	ɲ ă k 5
nhấc	ɲ ɤ̆ k 5
nhạc	ɲ a k 6
nhách	ɲ a tʃ 5
nhai	ɲ a j 1
nhái	ɲ a j 5
nhài	ɲ a j 2
nhãi	ɲ a j 3
nhải	ɲ a j 4
nhại	ɲ a j 6
nham	ɲ a m 1
nhám	ɲ a m 5
nhàm	ɲ a m 2
nhăm	ɲ ă m 1
nhắm	ɲ ă m 5
nhằm	ɲ ă m 2
nhặm	ɲ ă m 6
nhâm	ɲ ɤ̆ m 1
nhấm	ɲ ɤ̆ m 5
nhầm	ɲ ɤ̆ m 2
nhẫm	ɲ ɤ̆ m 3
nhẩm	ɲ ɤ̆ m 4
nhậm	ɲ ɤ̆ m 6
nhảm	ɲ a m 4
nhan	ɲ a n 1
nhàn	ɲ a n 2
nhăn	ɲ ă n 1
nhắn	ɲ ă n 5
nhằn	ɲ ă n 2
nhẵn	ɲ ă n 3
nhẳn	ɲ ă n 4
nhặn	ɲ ă n 6
nhân	ɲ ɤ̆ n 1
nhấn	ɲ ɤ̆ n 5
nhần	ɲ ɤ̆ n 2
nhẫn	ɲ ɤ̆ n 3
nhẩn	ɲ ɤ̆ n 4
nhận	ɲ ɤ̆ n 6
nhãn	ɲ a n 3
nhản	ɲ a n 4
nhạn	ɲ a n 6
nhang	ɲ a ŋ 1
nháng	ɲ a ŋ 5
nhàng	ɲ a ŋ 2
nhăng	ɲ ă ŋ 1
nhắng	ɲ ă ŋ 5
nhằng	ɲ ă ŋ 2
nhẵng	ɲ ă ŋ 3
nhẳng	ɲ ă ŋ 4
nhặng	ɲ ă ŋ 6
nhâng	ɲ ɤ̆ ŋ 1
nhãng	ɲ a ŋ 3
nhạng	ɲ a ŋ 6
nhanh	ɲ ɛ ɲ 1
nhánh	ɲ ɛ ɲ 5
nhành	ɲ ɛ ɲ 2
nhảnh	ɲ ɛ ɲ 4
nhạnh	ɲ ɛ ɲ 6
nhao	ɲ a w 1
nháo	ɲ a w 5
nhào	ɲ a w 2
nhão	ɲ a w 3
nhạo	ɲ a w 6
nháp	ɲ a p 5
nhắp	ɲ ă p 5
nhấp	ɲ ɤ̆ p 5
nhập	ɲ ɤ̆ p 6
nhạp	ɲ a p 6
nhát	ɲ a t 5
nhắt	ɲ ă t 5
nhặt	ɲ ă t 6
nhất	ɲ ɤ̆ t 5
nhật	ɲ ɤ̆ t 6
nhạt	ɲ a t 6
nhau	ɲ ă w 1
nháu	ɲ ă w 5
nhàu	ɲ ă w 2
nhâu	ɲ ɤ̆ w 1
nhầu	ɲ ɤ̆ w 2
nhẩu	ɲ ɤ̆ w 4
nhậu	ɲ ɤ̆ w 6
nhảu	ɲ ă w 4
nhay	ɲ ă j 1
nháy	ɲ ă j 5
nhày	ɲ ă j 2
